PracNo,PracticeName,Address1,Address2,Address3,Postcode,LCG
51,NULL,CORNERSTONE MEDICAL CENTRE,69 SHANKILL ROAD,BELFAST,BT13 1FD,Belfast
52,Dr Rea & Partners,16 MCCANDLESS STREET,CRUMLIN ROAD,BELFAST,BT13 1RU,Belfast
53,Dr B J Colgan,463 FALLS ROAD,BELFAST,,BT12 6DD,Belfast
55,Dr D O'Kane,THE HEALTH CENTRE,94-100 CRUMLIN ROAD,BELFAST,BT14 6AR,Belfast
57,DR. JE CAMPBELL AND PARTNERS,THE CARRICK HILL MEDICAL CENTRE,1 CARRICK HILL,BELFAST,BT1 2JR,Belfast
58,DR B J FARNAN & PARTNERS,THE GROUP SURGERY,257 NORTH QUEEN STREET,BELFAST,BT15 1HS,Belfast
60,DR. GE BURNS AND PARTNER,165 DUNCAIRN GARDENS,BELFAST,CO ANTRIM,BT15 2GE,Belfast
61,Dr Crossin & Partners,THE CARRICK HILL MEDICAL CENTRE,1 CARRICK HILL,BELFAST,BT1 2JR,Belfast
62,NULL,GARDINER FAMILY PRACTICE,CRUMLIN ROAD HEALTH CENTRE,"100 CRUMLIN ROAD, BELFAST",BT14 6AR,Belfast
63,Drs McMullan & O'Donnell,WILLOW MEDICAL PRACTICE,155 ANDERSONSTOWN ROAD,BELFAST,BT11 9EA,Belfast
64,Drs Donaghy & Murphy,DUNVILLE HEALTH CENTRE,309 GROSVENOR ROAD,BELFAST,BT12 4LP,Belfast
66,NULL,"GROVE WELLBEING CENTRE, PARKSIDE SURGERY",120 YORK ROAD,BELFAST,BT15 3HF,Belfast
68,Dr Crawford & Partners,136/138 SHANKILL ROAD,BELFAST,,BT13 2BD,Belfast
69,Drs Tan & McGirr (1),FLAX CENTRE,ARDOYNE AVENUE,BELFAST,BT14 7DA,Belfast
70,Dr Rainey & Partners,BALLYSILLAN GROUP PRACTICE,156-158 BALLYSILLAN ROAD,BELFAST,BT14 7QR,Belfast
71,NULL,463 SPRINGFIELD ROAD,BELFAST,,BT12 7DP,Belfast
72,Dr R H McKee,MOUNTAINVIEW SURGERY,585 CRUMLIN ROAD,BELFAST,BT14 7GB,Belfast
73,NULL,CRUMLIN ROAD FAMILY PRACTICE,CRUMLIN ROAD HEALTH CENTRE,"94-100 CRUMLIN ROAD, BELFAST",BT14 6AR,Belfast
74,Drs Ryan & Simpson,DR SIMPSON & DR BEATTIE,NORTHGATE FAMILY PRACTICE,"36 DUNCAIRN GARDENS, BELFAST",BT15 2GH,Belfast
75,Dr Lenfestey & Partners,GROSVENOR ROAD SURGERY,216 GROSVENOR ROAD,BELFAST,BT12 5LT,Belfast
79,Dr Bready & Partners,70 SPRINGFIELD ROAD,BELFAST,CO ANTRIM,BT12 7AH,Belfast
80,DR. KB SWAIN AND PARTNERS,460 OLDPARK ROAD,BELFAST,,BT14 6QG,Belfast
81,Dr Giles & Partners,46 SPRINGFIELD ROAD,BELFAST,,BT12 7AH,Belfast
83,NULL,"GROVE WELLBEING CENTRE, GROVE MEDICAL PRACTICE",120 YORK ROAD,BELFAST,BT15 3HF,Belfast
84,Drs Salters & Diamond,186 FALLS ROAD,BELFAST,,BT12 6AG,Belfast
85,Dr MacSorley & Partners,515 ANTRIM ROAD,BELFAST,,BT15 3BS,Belfast
86,Dr Brown & Partners,SALISBURY MEDICAL CENTRE,474 ANTRIM ROAD,BELFAST,BT15 5GF,Belfast
92,NULL,BALLYOWEN HEALTH CENTRE,179 ANDERSONSTOWN ROAD,BELFAST,BT11 9EA,Belfast
93,Dr Sharma & Partners,61 CLIFTONVILLE ROAD,BELFAST,,BT14 6JN,Belfast
94,Dr Cummings & Partners,115 FALLS ROAD,BELFAST,,BT12 6AA,Belfast
95,Dr S J McHugh,BALLYOWEN HEALTH CENTRE,179 ANDERSONSTOWN ROAD,BELFAST,BT11 9EA,Belfast
96,NULL,MALVERN FAMILY PRACTICE,69 SHANKILL ROAD,BELFAST,BT13 1FD,Belfast
98,Drs Wilson & McClure,THE LIGONIEL HEALTH CENTRE,74A LIGONIEL ROAD,BELFAST,BT14 8BY,Belfast
101,Drs Toal & Watters,132-136 SANDY ROW,BELFAST,CO ANTRIM,BT12 5EY,Belfast
103,Dr Donnelly & Partners,15/17 CLIFTON STREET,BELFAST,,BT13 1AD,Belfast
104,NULL,17 BALLYGOMARTIN ROAD,BELFAST,,BT13 3BW,Belfast
105,Dr Collins & Partners,OLD CHURCH PRACTICE,"2ND FLOOR, CORNERSTONE MEDICAL CENTRE","69 SHANKILL ROAD, BELFAST",BT13 1FD,Belfast
111,NULL,2 THAMES STREET,BELFAST,CO ANTRIM,BT12 6AP,Belfast
113,Dr Dugan,173 ANDERSONSTOWN ROAD,BELFAST,,BT11 9EA,Belfast
114,NULL,33 STEWARTSTOWN ROAD,BELFAST,,BT11 9FZ,Belfast
116,Dr Mulholland & Partners,CROCUS STREET SURGERY,1 CROCUS STREET,BELFAST,BT12 7AP,Belfast
132,DR. S HOLMES AND PARTNERS,THE KELLY PRACTICE,1 DUNLUCE AVENUE,BELFAST,BT9 7HR,Belfast
136,NULL,MOUNT ORIEL MEDICAL PRACTICE,KNOCKBREDA WTC,"110 SAINTFIELD ROAD, BELFAST",BT8 6GR,Belfast
140,DR. R RODRIGUES AND PARTNERS,THE HEALTH CENTRE,1 DUNLUCE AVENUE,BELFAST,BT9 7HR,Belfast
143,Dr Rowan & Partners,THE ROWAN TREE FAMILY PRACTICE,1 DUNLUCE AVENUE,BELFAST,BT9 7HR,Belfast
144,Dr A T Dawson,RAVENBANK SURGERY,113 RAVENHILL ROAD,BELFAST,BT6 8DR,Belfast
145,NULL,15A DONEGALL ROAD,BELFAST,,BT12 5JJ,Belfast
146,Drs Boyd & Hamilton,BALMORAL SURGERY,436 LISBURN ROAD,BELFAST,BT9 6GR,Belfast
147,Dr Dean & Partners,281 ORMEAU ROAD,BELFAST,,BT7 3GG,Belfast
148,Drs Rutherford & McFarland,SOUTH EAST FAMILY PRACTICE,370/372 CREGAGH ROAD,BELFAST,BT6 9EY,Belfast
151,Dr Irwin & Partners,THE HEALTH CENTRE,13/25 FINAGHY ROAD SOUTH,BELFAST,BT10 0BX,Belfast
153,Dr McDonnell & Partners,ORMEAU ROAD HEALTH CENTRE,120 ORMEAU ROAD,BELFAST,BT7 2EB,Belfast
154,Drs McCauley & Toland,142 - 144 UNIVERSITY STREET,BELFAST,,BT7 1HH,Belfast
156,Dr Chakravarty & Partners,BALLYOWEN HEALTH CENTRE,179 ANDERSONSTOWN ROAD,BELFAST,BT11 9EA,Belfast
157,NULL,UNIVERSITY HEALTH CENTRE AT QUEENS,ELMWOOD MANSE,"7 UNIVERSITY TERRACE, BELFAST",BT7 1NP,Belfast
159,Dr Corkey & Partners,485 ORMEAU ROAD,BELFAST,,BT7 3GR,Belfast
162,Drs Collier & Thompson,10/12 LISBURN ROAD,BELFAST,CO ANTRIM,BT9 6AA,Belfast
164,Dr E Murdock,CREGAGH SURGERY,36 MONTGOMERY ROAD,BELFAST,BT6 9HL,Belfast
165,Dr Cashell & Partners,6 NORTH PARADE,BELFAST,,BT7 2GG,Belfast
166,Dr E Cullen,BOTANIC MEDICAL CENTRE,51 BOTANIC AVENUE,BELFAST,BT7 1JL,Belfast
191,DR R T S HARRISON  PARTNERS,THE MONTALTO MEDICAL CENTRE,2 DROMORE ROAD,BALLYNAHINCH,BT24 8AY,South Eastern
192,Dr J McGill,KILLYLEAGH SURGERY,14 DOWNPATRICK ROAD,"KILLYLEAGH, DOWNPATRICK",BT30 9RG,South Eastern
193,Dr Greer & Partners,14 CHURCH VIEW,DUNDRUM,NEWCASTLE,BT33 0NA,South Eastern
194,Drs Hyland & Denvir,THE SURGERY,CAUSEWAY PLACE,NEWCASTLE,BT33 0DN,South Eastern
195,Dr J M Kyle,THE SURGERY,CAUSEWAY PLACE,NEWCASTLE,BT33 0DN,South Eastern
196,DR. M MURPHY,THE HEALTH CENTRE,DOWNPATRICK ROAD,ARDGLASS,BT30 7SF,South Eastern
198,Dr Ross & Partners,THE HEALTH CENTRE,FAIRVIEW,"SAINTFIELD, BALLYNAHINCH",BT24 7AD,South Eastern
201,Dr Bready & Partners,DONARD FAMILY PRACTICE,56 MAIN STREET,"NEWCASTLE, CO DOWN",BT33 0AE,South Eastern
202,Drs Moore & Small,GP & PRIMARY CARE CENTRE,"FIRST FLOOR, DOWN HOSPITAL","STRUELL WELLS ROAD, DOWNPATRICK",BT30 6RL,South Eastern
204,Drs Mulhall & Deeny,THE SURGERY,12 THE GREEN,"IRISH STREET, DOWNPATRICK",BT30 6BE,South Eastern
205,Dr Phillips & Partners,THE SURGERY,JAMES STREET,"CROSSGAR, DOWNPATRICK",BT30 9JU,South Eastern
206,Drs Hannah & McGoldrick,GP & PRIMARY CARE CENTRE,"FIRST FLOOR, DOWN HOSPITAL","STRUELL WELLS ROAD, DOWNPATRICK",BT30 6RL,South Eastern
207,Drs Harney & Harney,STREAM STREET SURGERY,40 STREAM STREET,DOWNPATRICK,BT30 6DE,South Eastern
221,DR. A SMYLIE AND PARTNERS,HEALTH CENTRE,BALLYNAHINCH ST,HILLSBOROUGH,BT26 6AW,South Eastern
222,Dr Bradley & Partners,WOODBROOK MEDICAL PRACTICE,STEWARTSTOWN ROAD,DUNMURRY  BELFAST,BT17 0FB,South Eastern
223,Drs Walmsley & Carson,THE HEALTH CENTRE,LINENHALL STREET,LISBURN,BT28 1LU,South Eastern
224,Dr Cowan & Partners,THE HEALTH CENTRE,LINENHALL STREET,LISBURN,BT28 1LU,South Eastern
226,Dr Hicks & Partners,THE SURGERY,BEGNEY HILL ROAD,DROMARA,BT25 2AT,South Eastern
227,Dr Jefferson & Partners,THE HEALTH CENTRE,LINENHALL STREET,LISBURN,BT28 1LU,South Eastern
228,Drs Forde & Doherty,THE HEALTH CENTRE,LINENHALL STREET,LISBURN,BT28 1LU,South Eastern
229,Dr Greene & Partners,THE HEALTH CENTRE,LINENHALL STREET,LISBURN,BT28 1LU,South Eastern
230,DR. JS HENRY AND PARTNERS,THE HEALTH CENTRE,LINENHALL STREET,LISBURN,BT28 1LU,South Eastern
231,DR. G M WILSON & PARTNERS,THE HEALTH CENTRE,LINENHALL STREET,LISBURN,BT28 1LU,South Eastern
232,Dr Dick & Partners,192 KINGSWAY,DUNMURRY,BELFAST,BT17 9AL,South Eastern
233,DR. OT GALLAGHER AND PARTNER,GLENAVY FAMILY PRACTICE,47 MAIN STREET,"GLENAVY, CRUMLIN",BT29 4LN,South Eastern
234,Drs Patterson & Vaughan,THE HEALTH CENTRE,LINENHALL STREET,LISBURN,BT28 1LU,South Eastern
252,Dr Lavery & Partners,PRIORY SURGERY,26 HIGH STREET,HOLYWOOD,BT18 9AD,South Eastern
253,DR. WJS BAIRD AND PARTNERS,THE HEALTH CENTRE,NEWTOWNARDS ROAD,BANGOR,BT20 4LD,South Eastern
254,Dr Donaldson & Partners,24 LISBARNETT ROAD,LISBANE,NEWTOWNARDS,BT23 6AW,South Eastern
255,Dr H C Johnston & Partners,THE HEALTH CENTRE,NEWTOWNARDS ROAD,BANGOR,BT20 4LD,South Eastern
256,NULL,140 GROOMSPORT ROAD,BANGOR,CO DOWN,BT20 5PE,South Eastern
257,Dr Kane & Partners,THE SURGERY,BROOK STREET,HOLYWOOD,BT18 9DA,South Eastern
258,Drs Drew & Nicol,THE HEALTH CENTRE,NEWTOWNARDS ROAD,BANGOR,BT20 4LD,South Eastern
259,DR. D COMPTON AND PARTNER,CUAN FAMILY PRACTICE,44 HIGH STREET,"PORTAFERRY, NEWTOWNARDS",BT22 1QT,South Eastern
260,Dr Douglas & Partners,THE HEALTH CENTRE,NEWTOWNARDS ROAD,BANGOR,BT20 4LD,South Eastern
261,NULL,KILLYNETHER PRACTICE,2A FREDERICK STREET,NEWTOWNARDS,BT23 4LR,South Eastern
263,Dr J Bissett,DR ROBERT HENRY SURGERY,7A NEWTOWNARDS ROAD,"COMBER, NEWTOWNARDS",BT23 5AU,South Eastern
264,Dr N Majury,SILVERBIRCH MEDICAL PRACTICE,39A SILVERBIRCH ROAD,BANGOR,BT19 6EU,South Eastern
265,NULL,THE SURGERY,1 CHURCH STREET,NEWTOWNARDS,BT23 4FH,South Eastern
267,NULL,THE HEALTH CENTRE,5 NEWTOWNARDS ROAD,"COMBER, NEWTOWNARDS",BT23 5BA,South Eastern
271,Dr Lees & Partners,OLD MILL SURGERY,CHURCH STREET,NEWTOWNARDS,BT23 4AS,South Eastern
272,Dr G F B Horner & Partners,16 A THE SQUARE,COMBER,NEWTOWNARDS,BT23 5DT,South Eastern
273,Drs Leonard & McMillan,THE HEALTH CENTRE,5 NEWTOWNARDS ROAD,"COMBER, NEWTOWNARDS",BT23 5BA,South Eastern
274,Dr  Laird & Partners,BLOOMFIELD SURGERY,95 BLOOMFIELD ROAD,BANGOR,BT20 4XA,South Eastern
275,Drs McCarthy & Webb,REGENCY MEDICAL CENTRE,2A FREDERICK STREET,NEWTOWNARDS,BT23 4LR,South Eastern
276,Dr J Miller & Partners,DONAGHADEE HEALTH CENTRE,3 KILLAUGHEY ROAD,DONAGHADEE,BT21 0BU,South Eastern
278,NULL,THE SURGERY,1 CHURCH STREET,NEWTOWNARDS,BT23 4FH,South Eastern
279,Dr Peacock & Partners,WINDMILL SURGERY,44 HIGH STREET,"PORTAFERRY, NEWTOWNARDS",BT22 1QT,South Eastern
280,Drs Thompson & McMinn,THE HEALTH CENTRE,NEWTOWNARDS ROAD,BANGOR,BT20 4LD,South Eastern
281,NULL,CLELAND PARK SURGERY,2 CLELAND PARK,BANGOR,BT20 3EB,South Eastern
282,Drs Steele & Hughes,THE HEALTH CENTRE,FOWLER WAY,"BALLYWALTER, NEWTOWNARDS",BT22 2PY,South Eastern
283,Dr Steele & Partners,LOUGH VIEW SURGERY,2 MAIN STREET,"KIRCUBBIN, NEWTOWNARDS",BT22 2SP,South Eastern
284,Drs Armstrong & Stelfox,THE SURGERY,1 CHURCH STREET,NEWTOWNARDS,BT23 4FH,South Eastern
285,NULL,GREEN ROAD MEDICAL CENTRE,5 GREEN ROAD,"CONLIG, NEWTOWNARDS",BT23 7PZ,South Eastern
302,Dr Green & Partners,THE SURGERY,80 CASTLETON,"TEMPLEPATRICK, BALLYCLARE",BT39 0AZ,Northern
303,Dr Hyndman & Partners,1 GLENAVY ROAD,CRUMLIN,CO ANTRIM,BT29 4LA,Northern
304,NULL,"MAINE MEDICAL, THE HEALTH CENTRE",PORTGLENONE ROAD,"AHOGHILL, BALLYMENA",BT42 1LE,Northern
305,NULL,THE HEALTH CENTRE,CUSHENDALL ROAD,BALLYMENA,BT43 6HQ,Northern
307,DR W HOGG AND PARTNER,"CASTLE MEDICAL PRACTICE, ANTRIM HEALTH CENTRE",32A STATION ROAD,ANTRIM,BT41 4BS,Northern
308,DR. HUNTER AND PARTNERS,ORIEL SURGERY,31 ORIEL ROAD,ANTRIM,BT41 4HR,Northern
310,Dr Allen & Partners,CULLYBACKEY HEALTH CENTRE,TOBER PARK,"CULLYBACKEY, BALLYMENA",BT42 1NW,Northern
311,Drs Magowan & Magowan,THE SURGERY,77 GALGORM ROAD,BALLYMENA,BT42 1AA,Northern
312,NULL,SLEMISH VIEW MEDICAL PRACTICE,BALLYMENA HEALTH & CARE CENTRE,"86 CUSHENDALL ROAD, BALLYMENA",BT43 6HB,Northern
313,Drs Russell & Simms,THE GABLES,45 WAVENEY ROAD,BALLYMENA,BT43 5BA,Northern
314,NULL,THE HEALTH CENTRE,CUSHENDALL ROAD,BALLYMENA,BT43 6HQ,Northern
315,NULL,CUSHENDALL ROAD,BALLYMENA,CO ANTRIM,BT43 6HQ,Northern
317,Dr Redmond & Partners,THE HEALTH CENTRE,76 MAIN STREET,BROUGHSHANE BALLYMENA,BT42 4JA,Northern
319,DR. W.J.C.WILSON AND PARTNERS,PORTGLENONE HEALTH CENTRE,17 TOWNHILL ROAD,"PORTGLENONE, BALLYMENA",BT44 8AD,Northern
321,NULL,THE HEALTH CENTRE,CUSHENDALL ROAD,BALLYMENA,BT43 6HQ,Northern
323,Dr J D Simpson,SMITHFIELD MEDICAL CENTRE,7 SMITHFIELD PLACE,"GALGORM ROAD, BALLYMENA",BT43 5HB,Northern
325,Dr R H Bill,KELLS & CONNOR MEDICAL CENTRE,36 CHURCH ROAD,"KELLS, BALLYMENA",BT42 3JU,Northern
326,DR. MCCUSKER AND PARTNERS,THE FAMILY PRACTICE,THE HEALTH CENTRE,"STATION ROAD, ANTRIM",BT41 4BS,Northern
327,Drs Leggett & Kidd,THE HEALTH CENTRE,STATION ROAD,ANTRIM,BT41 4BS,Northern
328,NULL,MAINE MEDICAL PRACTICE,"OLD MILL PARK, MAIN STREET","CULLYBACKEY, BALLYMENA",BT42 1GP,Northern
329,DR. HUTCHINSON & PARTNER,THE HEALTH CENTRE,STATION ROAD,ANTRIM,BT41 4BS,Northern
330,Drs Turk & McKenna,THE HEALTH CENTRE,STATION ROAD, ANTRIM,BT41 4BS,Northern
331,Drs Huey & Khanna,BRAID FAMILY PRACTICE,BALLYMENA HEALTH & CARE CENTRE,"86 CUSHENDALL ROAD, BALLYMENA",BT43 6HB,Northern
333,DR D S RAINEY,THE SURGERY,"TOOME HOUSE, 55 MAIN STREET","TOOMEBRIDGE, ANTRIM",BT41 3TF,Northern
334,Dr McIlroy & Partners,THE HEALTH CENTRE,5 NEILLSBROOK ROAD,"RANDALSTOWN, ANTRIM",BT41 3AE,Northern
336,Dr Hegan & Partners,2 MALLUSK ROAD,NEWTOWNABBEY,,BT36 4PP,Northern
337,DR KYLE AND PARTNERS,GLENGORMLEY PRACTICE,324 ANTRIM ROAD,NEWTOWNABBEY,BT36 5EQ,Northern
341,DR. BECK AND PARTNERS,THE HEALTH CENTRE,CASTLEROCK ROAD,COLERAINE,BT51 3HP,Northern
344,NULL,KILLOWEN MEDICAL CENTRE,CASTLEROCK ROAD,COLERAINE,BT51 3HP,Northern
345,Dr Johnston & Partners,BALLYMONEY FAMILY PRACTICE,BALLYMONEY HEALTH CENTRE,"21B NEWAL ROAD, BALLYMONEY",BT53 6HB,Northern
346,Dr Shannon & Partners,LODGE HEALTH,20 LODGE MANOR,COLERAINE,BT52 1JX,Northern
349,Dr Lynch &  Partners,THE COUNTRY MEDICAL PRACTICE,122 BALLINLEA ROAD,"ARMOY, BALLYMONEY",BT53 8TY,Northern
350,Drs Wee & Brown,6 PRIESTLAND ROAD,BUSHMILLS,,BT57 8QP,Northern
351,DR. JS BAILIE AND PARTNERS,PORTRUSH MEDICAL CENTRE,17 DUNLUCE AVENUE,PORTRUSH,BT56 8DW,Northern
352,Dr Kerr & Partners,GARVAGH HEALTH CENTRE,110 MAIN STREET,"GARVAGH, COLERAINE",BT51 5AE,Northern
354,Drs J Harley & D Harley,THE FAMILY PRACTICE,6 LEVER ROAD,PORTSTEWART,BT55 7EF,Northern
355,Dr McGurk & Partners,THE HEALTH CENTRE,36 GARVAGH ROAD,"KILREA, COLERAINE",BT51 5QP,Northern
356,Dr Turner &  Partners,4 MOUNTSANDEL ROAD,COLERAINE,CO LONDONDERRY,BT52 1JB,Northern
357,Dr McSparran & Partners,GLENS OF ANTRIM MEDICAL CENTRE,2 GORTACLEE ROAD,"CUSHENDALL, BALLYMENA",BT44 0TE,Northern
358,Drs Nutt & Siberry,LIFFOCK,69 SEA ROAD,"CASTLEROCK, COLERAINE",BT51 4TW,Northern
360,Drs Henderson & Young,THE HEALTH CENTRE,10 MONEYLECK ROAD,"RASHARKIN, BALLYMENA",BT44 8QB,Northern
361,Dr Fannin & Partners,THE HEALTH CENTRE,ROBINSON MEMORIAL HOSPITAL,BALLYMONEY,BT53 6HH,Northern
366,NULL,THE HEALTH CENTRE,DALRIADA HOSPITAL,BALLYCASTLE,BT54 6BA,Northern
367,Drs McCurdy & Armstrong,THE FROCESS MEDICAL CENTRE,56 MAIN STREET,"CLOUGHMILLS, BALLYMENA",BT44 9LF,Northern
368,Dr Bell & Partners,THE HEALTH CENTRE,DALRIADA HOSPITAL,BALLYCASTLE,BT54 6BA,Northern
369,Dr Carlin & Partners,PORTSTEWART MEDICAL CENTRE,MILL ROAD,PORTSTEWART,BT55 7SW,Northern
382,Dr Esler & Partners,MEADOWBRIDGE SURGERY,SLAUGHTERFORD ROAD,"WHITEHEAD, CARRICKFERGUS",BT38 9TG,Northern
384,Drs Mitchell & Swan,"BLACKARCH SURGERY, LARNE HEALTH CENTRE",GLOUCESTER AVENUE,LARNE,BT40 1PB,Northern
385,Dr Gamble & Partners,OLD SCHOOL SURGERY,54 STATION ROAD,"GREENISLAND, CARRICKFERGUS",BT38 8TP,Northern
386,Dr B D Glover,ANTRIM COAST MEDICAL PRACTICE,7 THE CLONEY,"GLENARM, BALLYMENA",BT44 0AB,Northern
387,DR. FERGUSON AND PARTNERS,THE HEALTH CENTRE,TAYLORS AVENUE,CARRICKFERGUS,BT38 7HT,Northern
388,Dr Dunn & Partners,INVER SURGERY,MOYLE MEDICAL CENTRE,"OLD GLENARM ROAD, LARNE",BT40 1XH,Northern
389,Dr McIlroy & Partners,CORRAN SURGERY,MOYLE MEDICAL CENTRE,"OLD GLENARM ROAD, LARNE",BT40 1XH,Northern
390,DR. BRADLEY AND PARTNERS,THE HEALTH CENTRE,TAYLORS AVENUE,CARRICKFERGUS,BT38 7HT,Northern
391,Dr Crory & Partners,VICTORIA SURGERY,MOYLE MEDICAL CENTRE,"OLD GLENARM ROAD, LARNE",BT40 1XH,Northern
393,Dr Craig & Partners,THE HEALTH CENTRE,GLOUCESTER AVENUE,LARNE,BT40 1PB,Northern
394,Drs Howie & Carlisle,"LARNE FAMILY PRACTICE, LARNE HEALTH CENTRE",GLOUCESTER AVENUE,LARNE,BT40 1PB,Northern
395,NULL,ROCKFIELD MEDICAL CENTRE,BALLYMENA,,BT43 6JD,Northern
396,NULL,OLD BANK SURGERY,97 MILL STREET,BALLYMENA,BT43 5AF,Northern
401,Dr Smyth & Partners,THE HEALTH CENTRE,52 ORRITOR ROAD,COOKSTOWN,BT80 8BN,Northern
402,Dr White & Partners,DRAPERSTOWN SURGERY,6 TOBERMORE ROAD,"DRAPERSTOWN, MAGHERAFELT",BT45 7AG,Northern
404,Dr Finch & Partners,67 URBAL ROAD,COAGH,COOKSTOWN,BT80 0DP,Northern
405,Drs McKeever &Flanigan,LOY MEDICAL CENTRE,8 LOY STREET,COOKSTOWN,BT80 8PE,Northern
406,Dr Glancy & Partners,29 GARDEN STREET,MAGHERAFELT,CO LONDONDERRY,BT45 5DD,Northern
407,Dr O'Kane & Partners,OAKS FAMILY PRACTICE CENTRE,48 ORRITOR ROAD,COOKSTOWN,BT80 8BH,Northern
409,Drs McCoy & McCammon,THE HEALTH CENTRE,50 HILLHEAD,"STEWARTSTOWN, DUNGANNON",BT71 5HY,Northern
410,Dr Overend & Partners,MAGHERA MEDICAL CENTRE,25 CHURCH STREET,MAGHERA,BT46 5EA,Northern
412,Drs Ramsey & Johnston,THE DIAMOND MEDICAL CENTRE,MARKET SQUARE,MAGHERAFELT,BT45 6ED,Northern
413,Dr R Graham,LOY BUILDINGS,18 LOY STREET,COOKSTOWN,BT80 8PE,Northern
417,Dr Barker & Partners,THE SURGERY,STATION ROAD,"CASTLEDAWSON, MAGHERAFELT",BT45 8AZ,Northern
418,Drs Ramsey & Johnston,THE DIAMOND MEDICAL CENTRE,MARKET SQUARE,MAGHERAFELT,BT45 6ED,Northern
419,Dr M A Charlton,FAIR HILL HEALTH CENTRE,MAGHERAFELT,CO LONDONDERRY,BT45 6BL,Northern
420,Drs Miller & Kuriacose,MONEYMORE  MEDICAL PRACTICE,3 FAIRHILL,MONEYMORE,BT45 7LJ,Northern
431,DR. CROSBIE AND PARTNERS,WHITEHOUSE MEDICAL GROUP PRACTICE,"UNIT 29A, FIRST FLOOR, ABBEYCENTRE","LONGWOOD ROAD, NEWTOWNABBEY",BT37 9UH,Northern
433,Dr Rafferty & Partners,THE HEALTH CENTRE,GEORGE AVENUE,BALLYCLARE,BT39 9HL,Northern
434,Dr Farrell & Partners,ABBOTS CROSS MEDICAL PRACTICE,92 DOAGH ROAD,NEWTOWNABBEY,BT37 9QW,Northern
438,Dr Neary & Partners,TRAMWAYS MEDICAL CENTRE,FARMLEY ROAD,NEWTOWNABBEY,BT36 7XX,Northern
